Date,Open,High,Low,Close,Volume,OpenInt
20050225,10.557,10.565,10.48,10.534,16555,0
20050228,10.557,10.572,10.45,10.549,10036,0
20050301,10.456,10.526,10.456,10.526,9125,0
20050302,10.51,10.61,10.51,10.602,19164,0
20050303,10.641,10.648,10.641,10.648,9254,0
20050304,10.725,10.733,10.687,10.733,6255,0
20050307,10.733,10.802,10.687,10.794,19421,0
20050308,10.802,10.802,10.648,10.648,36233,0
20050309,10.687,10.733,10.472,10.542,17337,0
20050310,10.578,10.787,10.549,10.787,14207,0
20050311,10.572,10.754,10.472,10.534,4692,0
20050314,10.534,10.718,10.534,10.648,11206,0
20050315,10.648,10.648,10.648,10.648,2866,0
20050316,10.618,10.618,10.549,10.549,7301,0
20050317,10.549,10.565,10.502,10.565,12779,0
20050318,10.494,10.557,10.494,10.518,4692,0
20050321,10.565,10.572,10.534,10.534,8993,0
20050322,10.48,10.494,10.38,10.494,11734,0
20050323,10.357,10.404,10.08,10.211,43276,0
20050324,10.235,10.409,10.235,10.404,9516,0
20050328,10.35,10.441,10.265,10.357,9904,0
20050329,10.357,10.357,10.35,10.35,9125,0
20050330,10.35,10.35,10.241,10.35,6000,0
20050331,10.35,10.357,10.281,10.357,12779,0
20050401,10.35,10.388,10.288,10.333,35584,0
20050404,10.249,10.303,10.235,10.303,13554,0
20050405,10.241,10.257,10.241,10.241,5606,0
20050406,10.257,10.257,10.241,10.249,1822,0
20050407,10.235,10.281,10.227,10.227,7689,0
20050408,10.195,10.211,10.119,10.18,10296,0
20050411,10.05,10.08,10.027,10.059,22290,0
20050412,10.096,10.141,10.08,10.128,4957,0
20050413,10.18,10.317,10.112,10.187,9778,0
20050414,10.195,10.227,10.195,10.227,4168,0
20050415,10.281,10.281,10.088,10.104,19032,0
20050418,10.073,10.112,10.043,10.067,19943,0
20050419,10.067,10.148,10.067,10.08,11861,0
20050420,10.05,10.133,10.027,10.104,5343,0
20050421,10.112,10.112,9.988,10.073,14597,0
20050422,10.003,10.018,10.003,10.003,4566,0
20050425,10.104,10.104,10.003,10.05,9645,0
20050426,10.073,10.088,10.003,10.003,15381,0
20050427,10.027,10.096,10.027,10.08,9645,0
20050428,10.112,10.112,10.067,10.08,4957,0
20050429,10.157,10.157,10.096,10.112,9645,0
20050502,10.141,10.173,10.059,10.112,26589,0
20050503,10.08,10.119,10.08,10.119,10036,0
20050504,10.148,10.173,9.988,10.088,40015,0
20050505,10.067,10.203,10.067,10.157,19164,0
20050506,10.173,10.173,10.067,10.133,9254,0
20050509,10.128,10.165,10.112,10.112,12645,0
20050510,10.08,10.18,10.08,10.18,11476,0
20050511,10.128,10.187,10.128,10.187,8602,0
20050512,10.165,10.195,10.096,10.141,16426,0
20050513,10.133,10.195,10.119,10.119,20856,0
20050516,10.133,10.219,10.133,10.211,9254,0
20050517,10.219,10.235,10.219,10.235,3258,0
20050518,10.273,10.281,10.249,10.273,8474,0
20050519,10.273,10.303,10.273,10.303,2609,0
20050520,10.303,10.303,10.303,10.303,784,0
20050523,10.309,10.309,10.249,10.303,4957,0
20050524,10.303,10.303,10.241,10.249,12515,0
20050525,10.257,10.303,10.241,10.257,11990,0
20050526,10.257,10.257,10.235,10.257,9904,0
20050527,10.257,10.303,10.241,10.303,4692,0
